Time,Voltage,Force
9.863,1.4972,1.584
9.887,1.5007,1.509
9.918,1.4532,2.525
9.969,1.4885,1.770
9.993,1.4434,2.731
10.023,1.4399,2.805
10.052,1.4728,2.107
10.077,1.4352,2.905
10.105,1.4525,2.538
10.130,1.4979,1.568
10.168,1.5012,1.498
10.200,1.4325,2.960
10.242,1.4343,2.923
10.276,1.4392,2.821
10.306,1.4887,1.767
10.330,1.5083,1.344
10.362,1.4525,2.538
10.391,1.4604,2.371
10.416,1.4315,2.981
10.450,1.4940,1.651
10.485,1.4739,2.083
10.509,1.5067,1.379
10.535,1.4807,1.939
10.571,1.4729,2.104
10.615,1.4662,2.248
10.639,1.4315,2.981
10.672,1.4934,1.665
10.700,1.4629,2.318
10.724,1.4997,1.530
10.754,1.4858,1.829
10.788,1.4803,1.947
10.841,1.4442,2.715
10.865,1.4939,1.654
10.889,1.5059,1.395
10.930,1.5013,1.495
10.955,1.4544,2.498
10.981,1.4318,2.976
11.013,1.4864,1.815
11.044,1.4797,1.960
11.077,1.4367,2.873
11.104,1.4432,2.736
11.132,1.4652,2.270
11.174,1.4587,2.408
11.218,1.4534,2.519
11.264,1.4738,2.086
11.294,1.4422,2.757
11.322,1.4373,2.860
11.356,1.4723,2.118
11.380,1.4344,2.921
11.406,1.5045,1.425
11.434,1.4587,2.408
11.469,1.4998,1.527
11.495,1.4949,1.633
11.521,1.4733,2.096
11.552,1.4425,2.750
11.577,1.4384,2.837
11.629,1.4438,2.723
11.655,1.4663,2.246
11.680,1.4323,2.965
11.711,1.5008,1.506
11.735,1.4543,2.501
11.768,1.5045,1.425
11.795,1.4880,1.780
11.820,1.4442,2.715
11.864,1.4877,1.788
11.913,1.4668,2.235
11.955,1.4605,2.368
12.006,1.4672,2.227
12.032,1.4485,2.623
12.056,1.4932,1.670
12.095,1.4865,1.813
12.135,1.4805,1.941
12.159,1.4427,2.747
12.191,1.5270,0.936
12.247,1.5183,1.127
12.272,1.5085,1.338
12.302,1.4813,1.925
12.334,1.4413,2.776
12.364,1.4364,2.879
12.414,1.4365,2.876
12.440,1.4530,2.527
12.469,1.5062,1.390
12.508,1.5109,1.287
12.552,1.5157,1.184
12.584,1.5129,1.243
12.611,1.4784,1.987
12.662,1.4349,2.910
12.712,1.5113,1.279
12.743,1.4504,2.583
12.773,1.3712,4.236
12.811,1.5130,1.241
12.852,1.5178,1.138
12.877,1.4798,1.957
12.910,1.4695,2.176
12.943,1.4970,1.587
12.988,1.5045,1.425
13.014,1.5087,1.336
13.048,1.4998,1.527
13.080,1.4747,2.067
13.104,1.5189,1.113
13.142,1.4272,3.073
13.174,1.4712,2.142
13.198,1.4203,3.217
13.231,1.5130,1.241
13.259,1.4543,2.501
13.293,1.4450,2.697
13.345,1.4777,2.003
13.377,1.4327,2.958
13.435,1.4733,2.096
13.463,1.5032,1.455
13.492,1.5188,1.116
13.527,1.5129,1.243
13.560,1.4443,2.713
13.616,1.4945,1.641
13.647,1.4863,1.818
13.706,1.5220,1.045
13.733,1.4595,2.389
13.772,1.4505,2.580
13.806,1.5149,1.200
13.866,1.4762,2.035
13.904,1.4864,1.815
13.952,1.4698,2.171
13.988,1.5025,1.468
14.019,1.4139,3.351
14.045,1.4558,2.469
14.077,1.4429,2.742
14.103,1.4153,3.322
14.139,1.4900,1.737
14.166,1.4864,1.815
